fiyat,tarih,boyut,m2,yaş,kat,adres
15.500,31-01-2024,1 + 1,55 m²,4 Yaşında,3. Kat,"Kağıthane, Çağlayan Mahallesi"
13.000,05-02-2024,2 + 1,95 m²,17 Yaşında,Ara Kat,"Kağıthane, Hamidiye Mahallesi"
15.000,21-12-2023,1 + 1,60 m²,6 Yaşında,3. Kat,"Kağıthane, Hürriyet Mahallesi"
40.000,07-02-2024,1 + 1,69 m²,1 Yaşında,Avrupa Konutları Çamlıvadi 1+1 Eşyalı Kiralık Daire,Mehmet
20.000,07-02-2024,2 + 1,80 m²,8 Yaşında,Giriş Katı,"Kağıthane, Emniyet Evleri Mahallesi"
18.000,09-02-2024,2 + 1,85 m²,Sıfır Bina,4. Kat,"Kağıthane, Çağlayan Mahallesi"
100.000,07-02-2024,4 + 1,220 m²,3 Yaşında,2. Kat,"Kağıthane, Seyrantepe Mahallesi"
18.000,08-02-2024,1 + 1,70 m²,30 Yaşında,4. Kat,"Kağıthane, Gültepe Mahallesi"
15.000,09-02-2024,1 + 1,80 m²,15 Yaşında,1. Kat,"Kağıthane, Sultan Selim Mahallesi"
17.000,06-02-2024,2 + 1,110 m²,25 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
14.500,07-02-2024,1 + 1,70 m²,30 Yaşında,Yüksek Giriş,"Kağıthane, Çeliktepe Mahallesi"
13.000,09-02-2024,2 + 1,80 m²,16 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
17.500,08-02-2024,1 + 1,75 m²,21 Yaşında,5. Kat,"Kağıthane, Seyrantepe Mahallesi"
21.000,07-02-2024,2 + 1,95 m²,6 Yaşında,2. Kat,"Kağıthane, Gürsel Mahallesi"
30.000,05-02-2024,2 + 1,120 m²,4 Yaşında,11. Kat,"Kağıthane, Sultan Selim Mahallesi"
35.500,22-12-2023,2 + 1,100 m²,1 Yaşında,"Beşiktaş'A,Üniversitelere Yakın Mint Levent'Te Eşyalı 2+1kiralık",Selin
18.750,09-02-2024,2 + 1,90 m²,15 Yaşında,Bahçe Katı,"Kağıthane, Telsizler Mahallesi"
19.500,07-02-2024,2 + 1,95 m²,7 Yaşında,2. Kat,"Kağıthane, Şirintepe Mahallesi"
11.000,03-02-2024,2 + 1,65 m²,20 Yaşında,Giriş Katı,"Kağıthane, Yahya Kemal Mahallesi"
10.000,09-02-2024,2 + 1,90 m²,15 Yaşında,Giriş Katı,"Kağıthane, Gültepe Mahallesi"
13.500,26-12-2023,1 + 1,60 m²,8 Yaşında,Yüksek Giriş,"Kağıthane, Merkez Mahallesi"
22.000,06-02-2024,3 + 1,110 m²,26 Yaşında,3. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
25.000,09-02-2024,2 + 1,90 m²,10 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
24.000,08-02-2024,3 + 1,110 m²,13 Yaşında,3. Kat,"Kağıthane, Nurtepe Mahallesi"
15.500,18-01-2024,1 + 1,50 m²,1 Yaşında,2. Kat,"Kağıthane, Çağlayan Mahallesi"
15.000,09-02-2024,1 + 1,65 m²,20 Yaşında,1. Kat,"Kağıthane, Telsizler Mahallesi"
12.500,04-02-2024,1 + 1,55 m²,5 Yaşında,Kot 1,"Kağıthane, Çağlayan Mahallesi"
11.000,06-02-2024,1 + 1,30 m²,26 Yaşında,Giriş Katı,"Kağıthane, Ortabayır Mahallesi"
25.000,04-02-2024,1 + 1,55 m²,4 Yaşında,5. Kat,"Kağıthane, Hamidiye Mahallesi"
18.000,09-02-2024,2 + 1,85 m²,Sıfır Bina,3. Kat,"Kağıthane, Çağlayan Mahallesi"
13.000,07-02-2024,1 + 1,75 m²,6 Yaşında,Zemin,"Kağıthane, Merkez Mahallesi"
15.000,07-02-2024,2 + 1,110 m²,26 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
19.000,08-02-2024,3 + 1,110 m²,28 Yaşında,4. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
26.000,22-12-2023,2 + 1,112 m²,1 Yaşında,"Besiktaş'A ,Metro Ve Kanyon Avm Yakın 2+1eşyalı Kiralık Daire",Selin
22.000,06-02-2024,3 + 1,120 m²,25 Yaşında,2. Kat,"Kağıthane, Gürsel Mahallesi"
20.000,07-02-2024,1 + 1,60 m²,7 Yaşında,2. Kat,"Kağıthane, Nurtepe Mahallesi"
13.000,09-02-2024,2 + 1,75 m²,5 Yaşında,Kot 3,"Kağıthane, Seyrantepe Mahallesi"
19.000,09-02-2024,2 + 1,90 m²,15 Yaşında,3. Kat,"Kağıthane, Seyrantepe Mahallesi"
10.000,05-02-2024,1 + 1,65 m²,30 Yaşında,Yüksek Giriş,"Kağıthane, Gültepe Mahallesi"
15.000,09-02-2024,2 + 1,90 m²,28 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
50.000,07-02-2024,3 + 1,130 m²,7 Yaşında,6. Kat,"Kağıthane, Gültepe Mahallesi"
15.000,07-02-2024,2 + 1,90 m²,2 Yaşında,Kot 2,"Kağıthane, Şirintepe Mahallesi"
49.900,06-02-2024,2 + 1,78 m²,1 Yaşında,Kâğıthane Çamlı Vadi Sitesi Eşyalı Kiralık 2+1 Daire (1084),BLUEGROUND
15.500,20-01-2024,1 + 1,55 m²,5 Yaşında,3. Kat,"Kağıthane, Çağlayan Mahallesi"
21.000,05-02-2024,2 + 1,85 m²,Sıfır Bina,Yüksek Giriş,"Kağıthane, Çeliktepe Mahallesi"
